	Methods	RMSE_avg	RMSE_std	MAE_avg	MAE_std	R2_avg	R2_std	Pearson_avg	Pearson_std	PR_AUC_avg	PR_AUC_std
0	DecisionTree	1.769	0.002	1.301	0.003	-3.647	0.049	0.025	0.003	0.259	0.006
1	RandomForest	0.831	0.0	0.584	0.0	-0.025	0.0	0.248	0.0	0.272	0.0
2	ExtraTrees	0.883	0.0	0.595	0.0	-0.157	0.0	0.075	0.0	0.198	0.0
3	Bagging	0.837	0.0	0.584	0.0	-0.039	0.001	0.233	0.0	0.269	0.0
4	AdaBoost	0.856	0.0	0.627	0.0	-0.087	0.002	0.215	0.002	0.331	0.001
5	GradientBoost	0.972	0.0	0.7	0.0	-0.402	0.0	0.157	0.0	0.212	0.0
6	SVR	0.844	0.0	0.653	0.0	-0.057	0.0	0.187	0.0	0.343	0.0
7	ElasticNet	1.121	0.0	0.873	0.0	-0.866	0.0	0.114	0.0	0.209	0.0
8	Lasso	1.11	0.0	0.874	0.0	-0.827	0.0	0.133	0.0	0.233	0.0
9	MLP	1.635	0.086	1.18	0.045	-3.092	1.897	0.073	0.013	0.209	0.006
