Methods	RMSE	MAE	R2	Pearson	AUPRC
MLP	7.119	2.184	-27.901	-0.018	0.178
DecisionTree	2.517	1.798	-2.613	0.041	0.17
GradientBoost	1.591	1.169	-0.443	0.121	0.274
RandomForest	1.497	1.106	-0.279	0.046	0.267
Bagging	1.487	1.091	-0.261	0.05	0.257
AdaBoost	1.469	1.088	-0.23	0.031	0.175
SVR	1.331	0.97	-0.01	0.067	0.164
ElasticNet	1.327	0.963	-0.004	0.132	0.18
Lasso	1.324	0.955	0.001	0.12	0.166
ExtraTrees	1.292	0.949	0.048	0.272	0.337
